職缺名稱,公司名稱,工作地點,薪資範圍,職缺連結,發布日期,截止日期,工作經歷,學歷要求,擅長工具,工作技能,工作內容,職務類別
【技術部】數據分析師 (內容開發與經營分析)*,聯合線上股份有限公司,新北市汐止區,未提供,https://www.104.com.tw/job/7s73d?jobsource=joblist_list,2025/02/05,,1年以上,大學,Python; VBA; MS SQL; Excel; PowerPoint; Google Analytics; Looker studio,未提供,"1.	內容開發與落地應用專案：
以數據驅動為核心的應用專案，包含專案架構規劃、進度追蹤、跨部門協作、落地驗證、進度追蹤回報、教育訓練、專案維運與持續優化等。

2.	內容經營分析與執行：
對數位內容進行全面、系統化的評估和管理，提升內容效益與影響力，並挖掘出更具價值的數據洞察。包含新聞議題分析、多媒體內容（如影音、Podcast）的深入數據分析與執行，並執行績效追蹤檢核、專案進度回報、跨部門協作（包括教育訓練和會議）等。

3.	創新型數據應用開發：
利用創新的數據分析技術（如Generative AI、Machine Learning）優化工作流程，促進創新應用開發，提升效率和數據價值，以實現數據驅動的決策與產品改進。
4.	主管交辦之新專案、行政事項或維運事項。

【必要條件】
1.	熟GCP環境，掌握 SQL、Python、AI等執行處理能力
2.	熟Google Analytic 4、Looker studio、Excel(函數/樞紐/VBA)、Power Point
【加分條件】
1.	Google Data Analytics 認證
2.	Google Analytic 4 認證 (有效期內)

註：該職務，會依實際求職者之相關工作經歷議定薪資。",數據分析師; 資料科學家
統一超商數據分析師(OPENPOINT team),統一超商股份有限公司,台北市信義區,"月薪37,050~52,000元",https://www.104.com.tw/job/8isok?jobsource=joblist_bact_n,2025/03/10,,2年以上,大學,未提供,未提供,"1.觀測及分析會員數據，結合多資料源，執行會員分析、行銷效益分析、數位產品經營分析，產生具備商業價值、且可執行的數據洞察。
2.與業務同仁密切合作，協助執行業務分析、產出行銷名單，或開發數據儀表板以供實時檢視商業指標。
3.經營會員數據中台，發想及規劃數據應用，執行會員標籤、商品推薦、行銷自動化的導入或實作。
4.把關資料來源品質，確保資料的正確性、可用性，及確保能夠滿足分析需求。",數據分析師
數據分析師 - Data Analyst,塶樂微創有限公司,台中市西屯區,未提供,https://www.104.com.tw/job/7cnnn?jobsource=joblist_bact_n,2025/03/10,,1年以上,碩士,Python; MS SQL; MySQL; Power BI​,未提供,"*** 第一階段將有簡易SQL能力測試 ***
*** 應徵時請附上PowerBI作品，以及其他加分文件 ***

職責：
- 彙整內外部資料，運用統計或機器學習技術，洞察資料價值
- 使用PowerBI視覺化分析結果，並提出觀點與建議
- 了解資料ETL流程(資料萃取、資料轉置、資料清理)，應用SQL 查詢資料
- 與需求端溝通，共同研究開發分析指標與方法
- 熱愛學習新事物，優化工作流程

必要條件：
- Power BI、Python、RDBMS使用經驗
- 1年以上數據分析(Big Data)相關經驗

加分條件
- 遊戲產業經歷
- GA埋點UI/UX分析經驗
- 機率工程經驗
- 資料Pipeline建立經驗",市場調查／市場分析; 統計精算人員; 其他資訊專業人員
【ADB 數位行銷】行銷資料分析師,ADBest_帆晴股份有限公司,台北市大安區,"月薪40,000~50,000元",https://www.104.com.tw/job/893g3?jobsource=joblist_list,2025/03/05,,1年以上,專科,Excel; PowerPoint; Tableau; Google Analytics; Google Tag Manager; SimilarWeb; Google Data Studio,專案溝通╱整合管理; 品牌行銷管理; 提案與簡報技巧; 行銷策略擬定; 模組化系統設計,"【工作內容/技能專長】
1.熟悉網路行銷生態（各廣告渠道、論壇、媒體、KOL/網紅、短影音等）。

2.深入理解GA4及其分析功能，提出品牌優化方案，包括用戶行為分析、顧客轉換最佳路徑、挖掘熱銷潛力產品/組合、分析各渠道效益等。

3.精通Looker Studio，能夠建立自動化客製視覺化報告，包括關鍵績效指標(KPI)、各渠道詳細數據、行銷漏斗、RFM模型等。

4.瞭解Ahrefs、SimilarWeb等工具，進行深入的市場分析、競爭分析和產業研究，掌握品牌機遇、市場趨勢。

5.溝通/撰寫能力強，能夠產出清晰且具有說服力的市場調研報告，將分析結果轉化為實際的商業策略和建議。

6.能夠與跨部門團隊合作，清晰定義客戶品牌的當前需求，提供策略建議，並持續追蹤和優化成果。


【條件要求】
✓ 抗壓力、溝通協調力佳、EQ好、積極正向
✓ 善於溝通、良好的理解與溝通能力
✓ 反應力佳，處事靈活度高
✓ 心思細膩、時間管理能力佳
✓ 目標導向工作，具備自我成長導向與自我解決問題能力
✓ 注重團隊合作，一群人可以一起走得更遠
✓ 細心且負責的工作態度，把事情做對做好很重要
✓ 熟悉辦公軟體：Excel、Keynote/PowerPoint


【我們提供】
✓ 友善的工作環境和友好的團隊氛圍。
✓ 良好的職業發展機會，您可以在數位行銷領域不斷成長！
✓ 輔導考取Google、Facebook、LINE...等媒體專業認證，提升職場競爭力！


【加分項目】
1.具備Facebook認證、Google Ads認證、Google Analytics認證
2.具備Facebook企業平台授權、像素API埋設等相關專業知識

＊本職缺需自備筆電 (提供補貼金額，依年資：2~5K/年)


【About Us】
ADBest 為數位行銷公司，擁有各大領域經典案例 （如：民生消費用品類、餐飲類、食品類、美妝類、服飾類、3C商品類等）；更協助客戶打造質感品牌。（如：資生堂、SABON、SKII、專科、SIRO、饗食天堂、Panasonic等）

在這裡你可以自在與團隊夥伴一起合作，參與品牌規劃整體行銷策略，我們喜歡你挑戰新事物、喜歡你大膽提出創意，讓想法變成踏實的執行方案！

若對職缺有興趣，請寄送簡介、履歷，至service@adbest.com.tw、rogerhuang@adbest.com.tw（我們將會進一步與您聯繫！）


【公司工作環境】
上班時間：9:30AM~18:30PM（中間休息一小時）
地點：捷運『忠孝復興站』5號出口走路 2 分鐘（台北市大安區復興南路一段129號7樓）
",數據分析師; 資料科學家; 資料工程師
【資料分析師】Data Analyst,POSITIVE GRID_佳格數位科技有限公司,台北市中山區,未提供,https://www.104.com.tw/job/88jap?jobsource=joblist_list,2025/03/10,,3年以上,大學,ChatGPT; MySQL,數據分析,"Positive Grid is a progressive D2C music tech company. We create cutting-edge products that disrupt the norm and inspire music creation worldwide. As a data analyst at Positive Grid, you will need to deliver significant and action-oriented analyses and recommendations to internal customers.

This position will work very closely with E-com, Marketing, and Logistics teams. Your work will start from understanding internal customer needs and problem definition to the analysis and interpretation of results as well as communicating the findings to the Operational teams.

This role requires a strong driver who can lead initiatives, problem-solving, and keep moving pieces on schedule. This is a high-impact role that requires strong communication and cross-functional collaboration skills.


【Typical Account abilities】

1.Collaborate with stakeholders to identify business needs and opportunities for analysis that inform decision-making

2.Develop software code using SQL and Python, and other tools to meet internal customer’s needs and deploy it to run data systematically, including data virtualization

3.Deconstruct abstract business requirements and translate them into concrete business analysis problems.

4.Create key metrics, dimensions for a brand new business models or actions.

5.Communicate or present insights to both technical and non-technical audiences and generate insights on consumer behavior and customer needs to help further develop and improve our value proposition and client/marketing strategy

6.Design, coordinate, and implement analytical solutions to support business initiatives
",資料工程師; 數據分析師
數據分析師(授信管理),華南商業銀行股份有限公司,台北市信義區,"月薪50,000元以上",https://www.104.com.tw/job/88828?jobsource=joblist_list,2025/01/24,,3年以上,大學,Python; R; MS SQL; SAS,建立統計精算模型; 統計軟體操作; 資料庫程式設計; 資料庫軟體應用,"1. 協助數據專案的數據分析、經營績效追蹤等工作。
2. 透過數據協助風險決策和洞察分析，工作包含資料抽取、數據清洗、探索分析等，發掘問題。
3. 協助企、個金授信徵審專案推動、流程規劃與效率改善事宜。
4. 參與企、個金內部評等模型、AI大數據模型的建置、監控校準及維護管理。
5. 企、個金授信例行性法定報表、內部管理報表的建置、分析彙報及系統化作業。
6. 協助存量客戶風險分層，結合評分模型和相關規則，建立風險標籤協助細化存量客戶的風險評估，並持續迭代優化。",統計精算人員; 其他專案管理師; 數據分析師
【電話行銷處】業務數據庫分析師 Business Data Analyst,安達國際人壽保險股份有限公司,台北市信義區,未提供,https://www.104.com.tw/job/87im7?jobsource=joblist_list,2025/03/05,,6年以上,專科,Access; Excel; Tableau; SAS,未提供,"此職位隸屬電話行銷處-電銷業務支援與策略部

Responsibilities:
1. 依據業務變動規劃新電銷資料，新增至SAS EG，開發及優化業務制度、競賽獎勵、業務指標化相關之報表及產出效率
2. 電銷名單、商品、保單品質、訓練等專案績效追蹤，並新增與優化dashboard，協助業務快速找出問題
3. TM Portal網站維護與管理，依據組織層級設定權限，並配合IS Model區隔資料，規劃獨立查詢系統
4. 其他業務支援相關行政工作

Qualifications:
1. 大學以上數理統計相關科系
2. 具金融保險6年以上經驗，熟電話行銷作業加分
3. 必須熟悉Office 軟體，精通Excel ，有 Access經驗加分
4. 必須具備SAS EG 與 Tableau開發能力
5. 可獨立作業且態度積極，對工作保持彈性。

***誠摯邀請您透過Chubb 人才招募網投遞履歷。此舉將有助於您的履歷優先被審核。投遞連結：https://fa-ewgu-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/14734/?utm_medium=jobshare&utm_source=External+Job+Share",數據分析師; 資料工程師; 資料庫管理人員
【數據分析】平台數據分析師｜執行長辦公室 (雲端產業 /商業敏銳度 ),采威國際資訊股份有限公司,台中市西屯區,"月薪55,000~65,000元",https://www.104.com.tw/job/8msvk?jobsource=joblist_bact_n,2025/03/10,,3年以上,碩士,未提供,未提供,"我們正在尋找的你
如果你對數位行銷平台具有高度熱情；如果你對訂閱經濟充滿興趣；如果你對B2B商務合作很有興趣；如果你想挑戰透過平台營運，與各產業客戶有所交集聯繫，歡迎與我們一起努力，幫助更多企業發展數位轉型，同時成就自己。

【工作內容】

◆數據分類與探勘：
   1.針對平台的數位軌跡、體驗軌跡、交易軌跡、服務軌跡等進行數據整理、分類與探勘分析，挖掘關鍵洞察。
   2.應用機器學習與數據分析技術，提供數據驅動的決策建議。

◆會員行為與微社群分析：
   1.依據平台客戶的行為數據，進行會員微社群劃分，分析用戶屬性、特徵、訂閱行為，建立精準標籤分群模型。
   2.利用數據驅動個性化推薦，提升會員留存率與轉換率。

◆雲端產業與SaaS市場研究：
   1.熟悉雲端產業與SaaS商業模式，針對國內外市場趨勢、競爭格局、技術發展進行研究與分析。
   2.協助提供市場洞察報告，為產品策略與商業決策提供支持。

◆跨部門合作與決策支持：
   1.與產品、行銷、業務等部門合作，針對數據結果提供具體可行的優化建議，提升用戶
體驗與平台營運成效

",數據分析師
【外貿協會】數據工程師/數據分析師,怡東人事顧問股份有限公司,台北市信義區,"月薪45,526~82,709元",https://www.104.com.tw/job/8mhqv?jobsource=joblist_bact_n,2025/03/10,,3年以上,大學,SQL; Python,未提供,"*此為派遣職務，請詳閱內容有意者再投遞* 
工作內容執行全球貿易大數據平台基金業務工作：
1.	數據分析專案執行與管理。
2.	數據探勘、資料蒐集之規劃與部署。
3.	數據分析的實驗設計與研究。

一.	基本條件: 
1.	大數據基本概要
2.	資料模型(Data Model)
3.	資料庫查詢語言(SQL)
4.	Python程式語言
二.	加分條件:
1.	具數據專案經驗。
2.	參與資料探勘(Data Mining)及分析、預測之實務經驗，或具資料分析建模及程式開發能力。
3.	具AI、BI或大數據相關領域證照或結業證明、參與競賽經驗。

",資料科學家; 資料工程師; 數據分析師
數據分析師(學士),弈樂科技股份有限公司,台中市西屯區,"月薪35,000~60,000元",https://www.104.com.tw/job/6j51q?jobsource=joblist_list,2025/03/10,,經歷不拘,大學,C; C#; C++; Java; Matlab; Python; R; Excel; PowerPoint,未提供,"***應徵時請附上作品集、文案、自傳、證照等加分文件***
1.	需求分析及規劃資料萃取、資料清理 
2.	數據分析、資訊視覺化、說明分析結果、提出建議及後續成效評估 
3.	蒐集競業資訊、報表整理

※工作待遇依個人經歷及專長等條件參考核定，如相關經歷豐富可議更優渥薪資，歡迎能力優秀的您應徵面談
",市場調查／市場分析; 統計精算人員
數據ETL/資料分析師,昇恒昌股份有限公司,台北市內湖區,"月薪40,000元以上",https://www.104.com.tw/job/878sb?jobsource=joblist_list,2025/03/10,,2年以上,大學,ETL; MS SQL; Oracle; Power BI​,未提供,"工作內容:
1 設計和建立資料分析報告和資料儀表板，
2.提供資訊視覺化及說明分析。
3.運用統計概念與資料驅動思維，收集和清理各類型資料，並設計資料分析方法，建立相關資料應用。
4.跨系統資料梳理及資料倉儲整合(ETL)應用(SSIS、Store Procedure)。

專業能力:
1.對數據分析具有統整運用能力,具有撰寫良好的分析報告能力。
2.對於探索資料具有熱忱與好奇心，會主動了解相關技術與知識。
3.能直接面對使用者與需求單位，具備細心、耐心、清晰的邏輯思維與簡報能力。",市場調查／市場分析; 數據分析師; 資料工程師
【北】Senior Data Analyst｜數據分析師（完全遠端）,大門科技顧問有限公司,台北市中山區,未提供,https://www.104.com.tw/job/8jecg?jobsource=joblist_list,2025/03/06,,5年以上,大學,SQL; Python,數據分析,"【關於我們】 
與全球十大平台網站合作，在交易、安全和區塊鏈產品創新方面提供一流的服務體驗。

我們的產品研發團隊自成立以來一直秉承用戶至上和安全至上的理念，產品不斷更新迭代，技術穩中求新。加入產研團隊，你將和一群業內頂尖的技術夥伴一起，打磨高性能、高可靠、創新不斷的全球top5的平台，在這裡，你的發展空間無限，未來可期。

我們正在全球招募更多優秀的志同道合的朋友加入我們，我們理想的候選人：積極主動，邏輯能力較好，有著良好的團隊合作和溝通協調能力；具有一定專研精神，敢於挑戰自我，勇於解決各種未知問題。

【工作內容】
1、搭建數據指標體系和分析體系。
2、理解業務需求，獨立提出並設計分析方案，支持各業務部門的需求落地。
3、使用SQL或BI工具進行數據提取、清洗和分析，確保數據質量和準確性。
4、建立並維護常規數據報表和自定義報表，定期提供業務數據監控和分析報告。
5、深入挖掘數據價值，識別數據趨勢，提出改進建議，支持業務決策。
6、與其他業務團隊（如產品、運營、市場）合作，通過數據驅動的方式提升業務效率。

【具備條件】
1、大學及以上學歷，統計學、計算機科學、信息技術或相關專業優先。
2、至少5年以上數據分析工作經驗，具備豐富的數據處理和分析經驗。
3、熟練掌握SQL，能獨立編寫覆雜查詢語句，有較強的數據建模能力。
4、熟悉Python，能夠進行數據清洗、分析和可視化，有助於更高效的分析流程。
5、熟悉主流BI工具，能夠將數據分析結果直觀地呈現給非技術團隊。
6、具備較強的邏輯思維能力，能夠有效地理解業務需求並轉化為數據需求。
7、良好的溝通和協作能力，能夠與跨職能團隊有效協作。。",軟體工程師; 數據分析師
資深數據分析師 【ETL數據分析師 】,邁達特數位股份有限公司,台北市內湖區,未提供,https://www.104.com.tw/job/7oyn3?jobsource=joblist_list,2025/03/11,,3年以上,專科,R; SQL,未提供,"1.數據收集、盤點與管理。
2.數據ETL開發、測試與維護。
3.利用ETL工具或T-SQL或Stored Procedure開發。
4.因應客戶需求進行資料倉儲/資料超市設計與規劃。



",資料庫管理人員; 系統分析師; 軟體工程師
資深資料分析師 Senior Data Analyst*_25024,遊戲橘子數位科技股份有限公司,台北市內湖區,未提供,https://www.104.com.tw/job/8fe7v?jobsource=joblist_list,2025/03/06,,3年以上,大學,Python,Machine Learning,"1. 梳理遊戲歷程數據並提出方法論
2. 跨部門協作, 找出玩家行為洞察
3. 為業務邏輯搭建必要的數據表, 並以統計分析與機器學習等方法進行概念驗證",資料科學家; 數據分析師
數據分析師,麟數據科技股份有限公司,台北市信義區,"月薪30,000~38,000元",https://www.104.com.tw/job/4zlf9?jobsource=joblist_list,2025/03/07,,經歷不拘,大學,Excel; PowerPoint; Word,未提供,"敝公司 LnData 目前第五年，進入快速成長的階段，需要各方人才一起來玩！同事有神人工程師、拳擊高手數據分析師、還有超會喝啤酒的資料科學家、虛擬貨幣致富數據暨演算法工程師，很害羞的外國人，歡迎各位一起加入打打鬧鬧！

/////////   你將要負責   ///////// 

彙整、分析與定期產出各類型數位媒體監測資料或社群報告
依據不同客戶性質、需求及資源，釐清問題並提出具體有效的建議，解決客戶的問題，維繫良好的客戶關係
提供客戶公司相關產品的解說與訓練
參與執行數據或社群相關的客製化專案，向客戶簡報專案結果與建議
深入理解公司各個產品線的功能和工作原理，獨立解答客戶對各個產品的諮詢

/////////   我們希望你具備   /////////

主修為資訊、媒體、行銷、統計等相關科系
具1年以上媒體代理商、資料分析、網站分析相關工作經驗為佳
能運用R或Python進行數據分析或具備相關分析經驗者為佳
對數位產業有熱情並具備相關知識
個性細心，有強烈的好奇心、具優異的邏輯思考、溝通表達與寫作能力
良好的服務意識和團隊合作精神，學習能力強，有責任心
熟悉MS Office與現今常用網站與廣告流量分析平台與軟體為佳
優秀的英文聽說讀寫能力，能以英文進行完整報告書寫與簡報者為佳

/////////   為什麼加入 LnData 麟數據科技股份有限公司   /////////

如果你對大數據研究及發展充滿熱情
如果你可以接受學習不同領域技能的工作
如果你喜歡一個有挑戰性的工作創造自己未來的可能
LnData 提供你一個良好的發展空間，還配有一台 Apple 筆電！
我們非常歡迎你的加入！",行銷企劃; 市場調查／市場分析; 廣告文案／企劃
【精品代理】資料分析師 Data Analyst 商業分析居多!!!,新加坡商艾得克有限公司台灣分公司,台北市大安區,"年薪1,000,000~1,250,000元",https://www.104.com.tw/job/8mweo?jobsource=joblist_bact_n,2025/02/24,,3年以上,大學,R; Looker; Power BI; SQL; GCP,資料庫系統管理維護,"職責:
協助集團系統創新經理進行數位轉型專案的研究與執行。
整合各類電子商務平台與ERP系統，確保數據高效同步並實現工作流程自動化。
建立並維護數據可視化儀表板，使用 Google Looker Studio 或 Microsoft Power BI 進行報表分析。
運用 Google BigQuery 進行大數據分析與處理，以支持業務決策。
參與解決方案的設計、開發、部署與維護，提升系統運作效能。
與集團數位與 IT 團隊及內部使用者密切合作，確保專案順利推進。

希望: 
具備 3 至 4 年 .NET 及 Microsoft SQL 的開發經驗。
必須熟悉 BigQuery 與 Google Cloud Platform (GCP)。
具備 API 整合、批次處理與系統性能優化的經驗。
熟悉 Shopify 或其他電子商務平台者尤佳。
具備 Restful API、GraphQL、Webhook 等數據整合技術經驗者更具競爭力。
熟悉 Looker Studio、Power BI 或其他數據分析與轉換平台者優先考慮。",數據分析師; 資料工程師; 資料庫管理人員
CRM Data Analyst 數據分析師,10/10 GROUP | 10/10 APOTHECARY · 10/10 HOPE · 10X _客林國際股份有限公司,台北市中山區,未提供,https://www.104.com.tw/job/80qwa?jobsource=joblist_list,2025/03/06,,2年以上,大學,MS SQL; Excel; Tableau; Google Analytics; Power BI​,未提供,"1. 協助執行CRM專案的推動，包含會員溝通設計、名單撈取、旅程設計、成效追蹤及優化
2. 透過數據分析，優化內部流程包含會員服務
3. 有大型平台規劃經驗或零售通路相關產業CRM實務經驗者
4. 維護/更新會員資料",數據分析師; 資料工程師
數據分析師 Data Analyst,TVBS_聯利媒體股份有限公司,台北市內湖區,未提供,https://www.104.com.tw/job/6eyou?jobsource=joblist_bact_n,2025/03/10,,經歷不拘,大學,Python; Excel; Tableau,未提供,"【職位概述】
我們的數據分析團隊隸屬於資料平台部門，有非常多元豐富的數據樣態，在過去數年也建立了堅實的數據基礎。團隊主要為產品部門提供多元化的數據分析，協助公司和產品在各方面做出正確決策，並推動自助式數據分析，賦能不同職能團隊建立報表與儀表板。我們相信團隊的成功源自每一位成員的卓越表現。在這裡，您將獲得豐富的商業知識，不斷學習新技術，並發揮您的價值。如果您對數據分析充滿熱情，喜歡蒐集業務和數據相關知識，具有良好的商業敏銳度和強大的分析能力，歡迎加入我們！

【職責】
- 理解業務背景，運用統計模型或相關技術分析並解釋客戶增長、流失、產品績效及行為
- 主動分析數據，提出關鍵問題，定義並創建指標以追蹤業務績效
- 使用數據視覺化工具創建儀表板，有效傳達績效、趨勢和模式，並提供確實的數據洞見
- 與產品管理、銷售運營等不同職能團隊緊密合作，理解業務案例，開發所需指標以滿足需求。確保需求理解準確並高品質交付，進行簡報傳達分析結果
- 與團隊成員合作完成數據管線、機器學習等相關需求",市場調查／市場分析; 統計學研究員
【展店擴編】物流部-供應鏈資料分析師,王品餐飲股份有限公司,台中市西區,未提供,https://www.104.com.tw/job/3ig95?jobsource=joblist_list,2025/03/10,,3年以上,大學,Excel; PowerPoint; Word,未提供,"王品集團 誠徵【物流部-供應鏈資料分析師】

工作內容：
1.分析供應鏈成本數據，提出新建議、優化流程並報告進度
2.應用結構化問題分析提出優化方案
3.將數據視覺化並創建具說服力且易理解的故事與論述
4.支援短期和長期的project資料庫分析
5.彙整門店數據並優化門店訂貨模式，接收和提供即時反饋                                                                                                            6.建立數據運算模型以及設計分析方案
7.分析和彙整數據分析結果、文獻研究和市場研究，並製作成精簡的摘要和專業報告
8.使用/維護資料庫應用程序和分析工具。包含:檢視數據品質、應用程序和效用，生成數據報告，以及維護數據資產
9.研究數據來源並建構新分析工具，幫助跨部門新產品開發和展示",市場調查／市場分析; 數據分析師
【趨勢民調台中公司】數據分析師,趨勢民意調查股份有限公司,台中市西區,"月薪35,000~50,000元",https://www.104.com.tw/job/8gqex?jobsource=joblist_list,2025/03/09,,經歷不拘,大學,Excel; PowerPoint; Word; SAS; SPSS,提案與簡報技巧; 市場調查企劃與執行; 市場調查資料分析與報告撰寫,"1.專案規劃-企劃書撰寫、文獻蒐集、調查規劃設計等。
2.專案執行-問卷品質控管、調查監聽監看、調查進度控管等。
3.專案分析-調查資料彙整、檢誤、報表圖表繪製、報告撰寫、簡報製作、消費洞察、行為研究、輿情分析等。
",市場調查／市場分析; 統計學研究員
【南】Senior Data Analyst｜數據分析師（完全遠端）,大門科技顧問有限公司,高雄市苓雅區,未提供,https://www.104.com.tw/job/8jecl?jobsource=joblist_list,2025/03/06,,5年以上,大學,SQL; Python,數據分析,"【關於我們】 
與全球十大平台網站合作，在交易、安全和區塊鏈產品創新方面提供一流的服務體驗。

我們的產品研發團隊自成立以來一直秉承用戶至上和安全至上的理念，產品不斷更新迭代，技術穩中求新。加入產研團隊，你將和一群業內頂尖的技術夥伴一起，打磨高性能、高可靠、創新不斷的全球top5的平台，在這裡，你的發展空間無限，未來可期。

我們正在全球招募更多優秀的志同道合的朋友加入我們，我們理想的候選人：積極主動，邏輯能力較好，有著良好的團隊合作和溝通協調能力；具有一定專研精神，敢於挑戰自我，勇於解決各種未知問題。

【工作內容】
1、搭建數據指標體系和分析體系。
2、理解業務需求，獨立提出並設計分析方案，支持各業務部門的需求落地。
3、使用SQL或BI工具進行數據提取、清洗和分析，確保數據質量和準確性。
4、建立並維護常規數據報表和自定義報表，定期提供業務數據監控和分析報告。
5、深入挖掘數據價值，識別數據趨勢，提出改進建議，支持業務決策。
6、與其他業務團隊（如產品、運營、市場）合作，通過數據驅動的方式提升業務效率。

【具備條件】
1、大學及以上學歷，統計學、計算機科學、信息技術或相關專業優先。
2、至少5年以上數據分析工作經驗，具備豐富的數據處理和分析經驗。
3、熟練掌握SQL，能獨立編寫覆雜查詢語句，有較強的數據建模能力。
4、熟悉Python，能夠進行數據清洗、分析和可視化，有助於更高效的分析流程。
5、熟悉主流BI工具，能夠將數據分析結果直觀地呈現給非技術團隊。
6、具備較強的邏輯思維能力，能夠有效地理解業務需求並轉化為數據需求。
7、良好的溝通和協作能力，能夠與跨職能團隊有效協作。",軟體工程師; 數據分析師
【營運企劃】人力運營數據分析師_I00016298,國泰人壽保險股份有限公司_總公司_國泰金控,台北市大安區,"月薪38,000~70,000元",https://www.104.com.tw/job/889mm?jobsource=joblist_bact_n,2025/02/19,,經歷不拘,學歷不拘,Python; R; PostgreSQL; Tableau; SAS,具備人力資源相關知識; 蒐集與分析就業市場資訊; 職業心理測驗分析; 專案時間╱進度控管; 專案規劃執行╱範圍管理; 專案溝通╱整合管理; 專案管理架構及專案說明; 問卷設計,"【煩請投遞履歷至「國泰人才招募平台」】
https://reurl.cc/pra8Db
-----------------------------------------
運用數據分析與科技工具，精進組織與人力運營效能，提升員工體驗!
我們渴望具有多元產業或領域背景，對未來組織與人才發展有熱忱的夥伴加入！
【主要工作內容】
1.透過數據分析，發現問題提出精進/創新方案，趨動業務發展。
2.依企業策略與市場趨勢，提出未來人力資源發展規劃。
3.整合內外部資料，建立主管儀表板等管理工具，提升人力運營決策效率。
4.設計及維護人力運營日常報表，監控並分析人力運營情形。
",人力資源人員
Data Analyst,美商法里亞有限公司臺灣分公司,台北市大安區,未提供,https://www.104.com.tw/job/7sb2m?jobsource=joblist_list,2025/03/06,,2年以上,大學,Mac OS; Mac/Macintosh; C++; Python; ANSI SQL; Excel,資料庫系統管理維護; 資料庫軟體應用; 文書處理軟體操作,"INTERESTED APPLICANTS MUST APPLY HERE:
https://apply.workable.com/faria/j/66D986B443/apply/

Faria Education Group is looking for a full-time Data Service Specialist to help support our customer data service projects. Your role will be to support the Services Team by aiding in services projects and project managing large-scale Curriculum Migration projects. As your experience in the role increases, so will your project management responsibilities.

KEY RESPONSIBILITIES

- Project Manage and participate in client services projects including data integrations and SaaS customizations within Faria Education products.
- Liaise with cross-functional internal teams (including Customer Support, Deployment, Implementation, and Sales) to improve the entire customer experience.
- Troubleshoot and resolve unique client situations through tailored and creative solutions.
- Work closely in a team environment to achieve individual, team, and company goals.
- Manage and re-prioritize deadlines to accommodate client needs and expectations.
- Provide timely and accurate curriculum migration quotes for sales.
- Work across teams to contribute to the overall mission of Faria Education Group to contribute to innovation of our products, and further our relationships with our client schools.

BENEFITS

- Competitive salary, plus Performance based bonus
- Monthly Health & Wellness Allowance
- Office lunch & team socials
- Professional Development Budget",資料庫管理人員; 其他資訊專業人員; 數據分析師
數據分析師 (Data Analyst)【數據科學部】,奧藝數位行銷有限公司,台北市內湖區,未提供,https://www.104.com.tw/job/8d7k6?jobsource=joblist_list,2025/03/06,,3年以上,大學,R; Stata; SPSS; SAS; Power BI; SQL; Tableau; Excel; Python,提案與簡報技巧; 行銷策略擬定; 市場調查企劃與執行; 市場調查資料分析與報告撰寫; 調查樣本統計分析; 數據分析,"如果你對行銷和經營策略有興趣，經常關注時事，喜歡把數字轉化成各種圖表，而且自認邏輯清晰，那你很可能就是我們正在尋找的夥伴。

工作內容：

1. 研究和分析產業數據
2. 撰寫產業洞察報告
3. 使用大數據分析系統進行消費者行為分析
4. 執行客戶專案並進行簡報
5. 與其他部門和資訊研發團隊合作設計模型
6. 共同研發數據分析產品

必備能力：

1. 系統性資料收集及邏輯思考能力
2. 良好的溝通、協調和表達能力
3. 能獨立向客戶進行簡報
4. 熟悉描述性與推論性統計學
5. 能製作PowerPoint簡報
6. 數據處理能力（例如：Excel函數、樞紐分析等）
7. 了解儀表板分析工具者優先考慮（例如：Tableau、Power BI等）
8. 具備程式化數據處理能力者優先（例如：Python、R、SQL等）
9. 使用統計軟體經驗者優先（例如：SPSS、SAS、STATA）",行銷企劃; 市場調查／市場分析; 顧問
商業數據分析師,台北富邦商業銀行股份有限公司,台北市大安區,未提供,https://www.104.com.tw/job/7e4ci?jobsource=joblist_bact_n,2025/02/11,,2年以上,大學,R,未提供,"數據科學部是台北富邦銀行數據服務的核心開發中心，中心的使命是落地科技前沿技術以服務行內業務行銷分析、客戶個人化金融場景，建立以數據驅動的商業模式。

在這裡我們重視以下文化，也希望來到這的夥伴們重視他們：
1.開放：自由地分享想法、觀點和經驗。
2.學習：不斷地學習新技術、新方法和新工具並與夥伴們互相學習。
3.創新：發揮創造力來解決問題並創造價值。

【職位目的及職責】
1.業務診斷：洞察客戶行為，分析結構、非結構化數據資料，提出符合業務專業的商業決策或顧問建議
2.精準行銷：建置統計模型、機器學習模型，或運用Persona、360度客戶行為標籤分析，從中發掘客群經營機會及產品跨售商機，最終達到精準行銷之目的
3.Test & Learn：能有系統的拆解與定義問題，設計並執行Test & Learn流程，包含：實驗設計、名單規劃、追蹤成效等，提出有效的行動建議
4.專案合作與推動：執行與推動數據專案，有效溝通團隊完成任務",統計精算人員; 其他資訊專業人員; 其他專案管理師
